City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Poum,NC,2020-04-17 11:48:44,-20.23,164.02,78.55,78,13,10.71
70,Cape Coast,GH,2020-04-17 11:51:51,5.11,-1.25,86.47,75,99,14.7
71,Galle,LK,2020-04-17 11:47:33,6.04,80.22,85.08,71,34,7.36
72,La Libertad,EC,2020-04-17 11:51:52,-2.23,-80.9,75.2,88,40,3.78
73,Sitka,US,2020-04-17 11:48:28,57.05,-135.33,42.8,100,90,4.47
74,Mhlume,SZ,2020-04-17 11:51:53,-26.03,31.85,77.0,61,75,5.82
75,Pangnirtung,CA,2020-04-17 11:47:47,66.15,-65.71,6.8,92,75,9.17
76,Airai,TL,2020-04-17 11:48:41,-8.93,125.41,63.99,76,73,1.52
77,Barrow,US,2020-04-17 11:47:37,71.29,-156.79,8.6,84,90,10.29
78,Sept-Iles,CA,2020-04-17 11:47:41,50.2,-66.38,25.0,62,75,10.29
79,Fortuna,US,2020-04-17 11:48:21,40.6,-124.16,50.0,100,90,3.51
80,Bambous Virieux,MU,2020-04-17 11:48:01,-20.34,57.76,77.0,83,75,12.75
81,Anadyr,RU,2020-04-17 11:47:54,64.75,177.48,5.0,92,37,4.47
82,Svetlyy,RU,2020-04-17 11:49:45,54.67,20.13,46.4,52,20,17.9
83,Kodinsk,RU,2020-04-17 11:51:55,58.69,99.18,37.09,77,98,10.38
84,Northam,GB,2020-04-17 11:51:55,51.03,-4.22,54.0,92,100,10.0
85,Pueblo,US,2020-04-17 11:51:56,38.25,-104.61,25.0,92,75,1.5
86,Dingle,PH,2020-04-17 11:48:47,11.0,122.67,82.94,69,19,8.43
87,Kishapu,TZ,2020-04-17 11:51:56,-3.62,33.87,80.64,44,34,10.0
88,Puerto Ayora,EC,2020-04-17 11:47:48,-0.74,-90.35,73.99,98,68,1.99
89,Pandan,PH,2020-04-17 11:51:57,14.05,124.17,81.23,83,14,15.05
90,Bredasdorp,ZA,2020-04-17 11:47:46,-34.53,20.04,71.6,37,75,9.17
91,Samarai,PG,2020-04-17 11:49:18,-10.62,150.67,80.44,81,88,3.47
92,Sirnak,TR,2020-04-17 11:51:58,37.52,42.46,73.4,40,20,6.93
93,Maragogi,BR,2020-04-17 11:51:58,-9.01,-35.22,83.91,67,39,4.68
94,Rawson,AR,2020-04-17 11:48:32,-43.3,-65.1,71.6,44,97,17.9
95,Butaritari,KI,2020-04-17 11:47:59,3.07,172.79,83.03,80,54,17.65
96,Georgetown,MY,2020-04-17 11:48:23,5.41,100.34,87.8,66,20,4.7
97,Cairns,AU,2020-04-17 11:48:32,-16.92,145.77,77.0,88,14,1.12
98,Geraldton,AU,2020-04-17 11:48:30,-28.77,114.6,75.2,69,40,11.41
99,Ancud,CL,2020-04-17 11:48:18,-41.87,-73.82,59.0,100,90,12.75
100,Nishihara,JP,2020-04-17 11:48:43,26.18,127.76,71.6,73,20,9.17
101,Mahebourg,MU,2020-04-17 11:47:44,-20.41,57.7,77.0,83,75,12.75
102,Alice Springs,AU,2020-04-17 11:47:37,-23.7,133.88,73.4,33,0,6.93
103,Batagay-Alyta,RU,2020-04-17 11:49:03,67.8,130.41,-8.1,80,55,9.35
104,Rocha,UY,2020-04-17 11:52:01,-34.48,-54.33,63.16,83,2,2.53
105,Provideniya,RU,2020-04-17 11:48:25,64.38,-173.3,33.67,91,100,8.79
106,Saint George,US,2020-04-17 11:48:09,37.1,-113.58,54.0,27,40,16.11
107,Kawalu,ID,2020-04-17 11:52:02,-7.38,108.21,76.6,79,92,0.49
108,San Policarpo,PH,2020-04-17 11:52:02,12.18,125.51,81.0,83,38,12.88
109,Sonoita,MX,2020-04-17 11:52:02,31.85,-112.83,61.0,35,96,12.21
110,Tiksi,RU,2020-04-17 11:48:19,71.69,128.87,-8.07,89,62,2.82
111,Hobart,AU,2020-04-17 11:44:42,-42.88,147.33,53.6,50,75,18.34
112,Atambua,ID,2020-04-17 11:52:03,-9.11,124.89,77.14,83,44,2.42
113,Rudbar,AF,2020-04-17 11:52:03,30.15,62.6,75.33,29,0,6.49
114,Srednekolymsk,RU,2020-04-17 11:48:00,67.45,153.68,0.1,93,99,9.1
115,Jutai,BR,2020-04-17 11:52:04,-5.18,-68.9,72.57,91,41,4.68
116,Yzeure,FR,2020-04-17 11:52:04,46.56,3.35,71.6,40,25,6.93
117,Walvis Bay,NA,2020-04-17 11:52:04,-22.96,14.51,66.2,55,5,4.7
118,Olafsvik,IS,2020-04-17 11:50:03,64.89,-23.71,43.57,93,100,20.36
119,Bayevo,RU,2020-04-17 11:52:05,53.28,80.77,61.39,40,26,6.13
120,Port Alfred,ZA,2020-04-17 11:47:35,-33.59,26.89,71.01,67,36,3.0
121,Mataura,NZ,2020-04-17 11:47:35,-46.19,168.86,48.0,92,98,1.99
122,Chauk,MM,2020-04-17 11:52:05,20.88,94.82,96.33,21,30,7.87
123,Beloha,MG,2020-04-17 11:49:40,-25.17,45.05,90.1,34,0,7.78
124,Upernavik,GL,2020-04-17 11:47:43,72.79,-56.15,24.33,87,86,9.28
125,Bullhead City,US,2020-04-17 11:50:47,35.15,-114.57,64.0,59,1,4.7
126,Seymchan,RU,2020-04-17 11:52:06,62.88,152.43,3.56,88,100,7.96
127,Magadan,RU,2020-04-17 11:50:04,59.57,150.8,22.51,94,99,8.81
128,Kupang,ID,2020-04-17 11:49:06,-10.17,123.58,83.61,77,18,6.26
129,Bethel,US,2020-04-17 11:47:51,41.37,-73.41,36.0,63,1,8.05
130,Hermanus,ZA,2020-04-17 11:47:51,-34.42,19.23,72.0,58,84,7.0
131,Mago,RU,2020-04-17 11:52:07,53.25,140.18,30.94,96,33,8.52
132,Birjand,IR,2020-04-17 11:48:08,32.87,59.22,69.8,21,40,6.93
133,Berlevag,NO,2020-04-17 11:47:43,70.86,29.09,35.6,94,75,14.99
134,Qui Nhon,VN,2020-04-17 11:49:52,13.77,109.23,78.26,85,77,4.83
135,Pisco,PE,2020-04-17 11:49:19,-13.7,-76.22,66.99,88,43,6.93
136,Otatitlan,MX,2020-04-17 11:52:09,18.2,-96.03,74.66,91,86,1.79
137,Carnarvon,AU,2020-04-17 11:47:50,-24.87,113.63,80.6,78,64,10.29
138,Hithadhoo,MV,2020-04-17 11:48:12,-0.6,73.08,83.82,72,99,5.88
139,Axim,GH,2020-04-17 11:52:09,4.87,-2.24,86.4,75,100,13.0
140,Puerto Rico,AR,2020-04-17 11:50:41,-26.8,-55.02,60.93,53,0,2.93
141,Kodiak,US,2020-04-17 11:48:30,57.79,-152.41,42.8,81,90,3.98
142,Rafaela,AR,2020-04-17 11:52:10,-31.25,-61.49,61.0,48,0,3.0
143,Cidreira,BR,2020-04-17 11:47:51,-30.18,-50.21,66.04,81,48,9.51
144,Taoudenni,ML,2020-04-17 11:48:31,22.68,-3.98,101.89,12,76,10.76
145,Cape Town,ZA,2020-04-17 11:44:57,-33.93,18.42,69.8,49,20,8.05
146,Nizwa,OM,2020-04-17 11:52:11,22.93,57.53,91.62,15,0,18.61
147,Saint Anthony,US,2020-04-17 11:52:12,45.02,-93.22,33.8,73,1,4.7
148,Aras,ES,2020-04-17 11:52:12,42.56,-2.36,66.2,68,20,14.99
149,Orhangazi,TR,2020-04-17 11:52:13,40.49,29.31,71.6,40,15,3.36
150,Arlit,NE,2020-04-17 11:49:29,18.74,7.39,103.91,7,0,1.9
151,Grindavik,IS,2020-04-17 11:52:13,63.84,-22.43,46.4,100,90,23.04
152,Port Blair,IN,2020-04-17 11:49:19,11.67,92.75,84.79,69,80,3.85
153,Katsuura,JP,2020-04-17 11:49:20,35.13,140.3,57.99,73,100,16.82
154,Hofn,IS,2020-04-17 11:48:05,64.25,-15.21,48.2,76,75,8.05
155,Vila Franca Do Campo,PT,2020-04-17 11:49:13,37.72,-25.43,62.6,72,20,10.29
156,Fecamp,FR,2020-04-17 11:50:52,49.76,0.37,64.99,77,75,11.41
157,Tobol,KZ,2020-04-17 11:52:15,52.68,62.58,47.53,72,96,12.95
158,Qaanaaq,GL,2020-04-17 11:47:30,77.48,-69.36,16.27,86,87,8.59
159,North Platte,US,2020-04-17 11:52:15,41.12,-100.77,21.2,92,90,8.05
160,San Cristobal,VE,2020-04-17 11:48:34,7.77,-72.22,69.91,49,88,2.21
161,Upata,VE,2020-04-17 11:52:16,8.01,-62.4,75.52,63,36,6.08
162,Kiama,AU,2020-04-17 11:52:16,-34.68,150.87,63.0,42,0,18.34
163,Sao Gabriel Da Cachoeira,BR,2020-04-17 11:52:16,-0.13,-67.09,73.92,94,89,2.01
164,Cabo San Lucas,MX,2020-04-17 11:48:02,22.89,-109.91,65.28,75,48,8.5
165,Richards Bay,ZA,2020-04-17 11:49:43,-28.78,32.04,77.47,57,0,8.57
166,Snezhnogorsk,RU,2020-04-17 11:52:17,69.19,33.25,37.4,69,40,11.18
167,Saldus,LV,2020-04-17 11:52:17,56.66,22.49,42.22,61,72,16.78
168,Severo-Kurilsk,RU,2020-04-17 11:49:27,50.68,156.12,29.12,95,83,14.85
169,Kruisfontein,ZA,2020-04-17 11:48:33,-34.0,24.73,69.15,53,12,9.01
170,Pedasi,PA,2020-04-17 11:52:18,7.53,-80.03,78.73,77,35,17.76
171,Celina,US,2020-04-17 11:48:01,40.55,-84.57,34.0,87,90,10.29
172,Victoria,HK,2020-04-17 11:45:24,22.29,114.16,73.99,81,81,7.0
173,Faya,SA,2020-04-17 11:48:34,18.39,42.45,73.4,49,40,16.11
174,Kibakwe,TZ,2020-04-17 11:52:19,-6.72,36.37,79.65,45,40,7.94
175,Bafoulabe,ML,2020-04-17 11:52:20,13.81,-10.83,104.92,17,55,6.08
176,Tura,IN,2020-04-17 11:47:12,25.52,90.22,84.34,48,30,2.33
177,Bluff,NZ,2020-04-17 11:47:32,-46.6,168.33,48.0,92,97,1.99
178,Predivinsk,RU,2020-04-17 11:52:20,57.07,93.44,44.51,66,95,4.92
